标题,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"大都会传说 / Tales of Metropolis","3","2024/07/30","","","","https://movie.douban.com/subject/25827874/"
"烈焰升腾：黑暗骑士三部曲诞生及影响 / The Fire Rises: The Creat...","4","2024/07/30","","2013/09/24","美国","https://movie.douban.com/subject/25926760/"
"死人 / Deadman","4","2024/07/30","","2013/09/28","美国","https://movie.douban.com/subject/26985556/"
"超级英雄：永不停歇的战斗 / Superheroes: A Never-Ending Battle","4","2024/07/30","","","","https://movie.douban.com/subject/25749991/"
"不可或缺的邪恶：DC宇宙中的超级罪犯 / Necessary Evil","4","2024/07/30","","","","https://movie.douban.com/subject/25764205/"
"超人75周年 / Superman 75","4","2024/07/30","","2013/10/12","纽约动漫展首映","https://movie.douban.com/subject/26739556/"
"未来蝙蝠侠 / Batman Beyond","4","2024/07/30","","2014/04/23","美国","https://movie.douban.com/subject/26650748/"
"蝙蝠侠：突袭阿卡姆 / Batman: Assault on Arkham","4","2024/07/30","","","","https://movie.douban.com/subject/25825320/"
"蝙蝠侠无限：动物本能，企鹅：上流社会罪犯 / Batman Unlimited: A...","4","2024/07/30","","","","https://movie.douban.com/subject/27202884/"
"夜翼与罗宾 / Nightwing and Robin","3","2024/07/30","","2015/01/14","美国","https://movie.douban.com/subject/30242675/"
"机器鸡DC漫画特辑3：魔幻基友 / Robot Chicken DC Comics Special ...","4","2024/07/30","","","","https://movie.douban.com/subject/26644606/"
"超级英雄格斗俱乐部2.0 / Superhero Fight Club 2.0","3","2024/07/30","","2016/09/29","美国","https://movie.douban.com/subject/26894829/"
"蝙蝠侠：披风斗士归来 / Batman: Return of the Caped Crusaders","2","2024/07/30","","2016/10/06","纽约动漫展","https://movie.douban.com/subject/26858290/"
"黑暗正义联盟 / Justice League Dark","3","2024/07/30","","2017/02/07","美国","https://movie.douban.com/subject/26277361/"
"少年泰坦：犹大契约 / Teen Titans: The Judas Contract","1","2024/07/30","","2017/03/31","阿纳海姆-WonderCon","https://movie.douban.com/subject/2024966/"
"Dark Hoser","4","2024/07/30","","2017/06/13","美国","https://movie.douban.com/subject/27073258/"
"蝙蝠侠其实没那么喜欢你 / Batman Is Just Not That Into You","4","2024/07/30","","2017/06/13","美国","https://movie.douban.com/subject/27046369/"
"与阿福一起做菜 / Cooking with Alfred","4","2024/07/30","","2017/06/13","美国","https://movie.douban.com/subject/27046371/"
"蝙蝠侠与哈莉·奎恩 / Batman and Harley Quinn","2","2024/07/30","","2017/07/21","圣地亚哥首映","https://movie.douban.com/subject/26979026/"
"蝙蝠侠大战双面人 / Batman Vs. Two-Face","1","2024/07/30","","2017/10/17","美国","https://movie.douban.com/subject/26894834/"
"史酷比与蝙蝠侠：英勇无畏 / Scooby-Doo & Batman: the Brave and ...","2","2024/07/30","","2018/01/09","美国","https://movie.douban.com/subject/27200703/"
"蝙蝠侠：煤气灯下的哥谭 / Batman: Gotham by Gaslight","2","2024/07/30","","2018/01/12","华盛顿首映","https://movie.douban.com/subject/27090813/"
"正义联盟：新英雄 / Justice League: The New Heroes","4","2024/07/30","","2018/03/13","美国","https://movie.douban.com/subject/30203425/"
"正义联盟：征服者荒原狼 / Justice League: Steppenwolf the Conqu...","4","2024/07/30","","2018/03/13","美国","https://movie.douban.com/subject/30203428/"
"康斯坦丁：恶魔之城 / Constantine: City of Demons","3","2024/07/30","","2018/03/24","美国","https://movie.douban.com/subject/26951935/"
"自杀小队：严厉惩罚 / Suicide Squad: Hell to Pay","3","2024/07/30","","2018/04/10","美国","https://movie.douban.com/subject/27098363/"
"超人之死 / The Death of Superman","3","2024/07/30","","2018/07/24","美国","https://movie.douban.com/subject/27098364/"
"DC展台：失败者 / DC Showcase: The Losers","1","2024/07/30","","2021/06/22","美国","https://movie.douban.com/subject/35516805/"
"DC展台：蓝甲虫 / DC Showcase: Blue Beetle","2","2024/07/30","","2021/07/27","美国","https://movie.douban.com/subject/35555152/"
"海王：亚特兰蒂斯之王 / Aquaman: King of Atlantis","3","2024/07/30","","2021/10/14","美国","https://movie.douban.com/subject/34950457/"
"睡魔 第一季 / The Sandman Season 1","3","2024/07/30","","2022/08/05","美国","https://movie.douban.com/subject/25793471/"
"DC萌宠特遣队 / DC League of Super-Pets","3","2024/07/30","","2022/07/29","美国","https://movie.douban.com/subject/30290068/"
"拯救蝙蝠 / Save the Bats","3","2024/07/30","","","","https://movie.douban.com/subject/30220624/"
"正义联盟：正义之心 / Justice League: Heart of Justice","3","2024/07/30","","2018/03/13","美国","https://movie.douban.com/subject/30201045/"
"正义联盟：正义之路 / Justice League: Road to Justice","3","2024/07/30","","2018/03/13","美国","https://movie.douban.com/subject/30203429/"
"自杀小队：力量与速度 / Suicide Squad Strength and Speed","3","2024/07/30","","2016/02/13","美国","https://movie.douban.com/subject/27078049/"
"自杀小队：全副武装 / Suicide Squad: Armed to the Teeth","4","2024/07/30","","2016/12/13","美国","https://movie.douban.com/subject/27078050/"
"这将要变得响亮：“自杀小队”的史诗般的战斗 / This Is Gonna Get...","3","2024/07/30","","2016/12/13","美国","https://movie.douban.com/subject/27078051/"
"不义联盟：人间之神 / Injustice","1","2024/07/30","","2021/10/09","美国","https://movie.douban.com/subject/35467746/"
"蝙蝠车 / The Batmobile","4","2024/07/30","","2012/07/16","美国","https://movie.douban.com/subject/11524491/"
"DC超级英雄高校 / DC Super Hero High","3","2024/07/30","","","","https://movie.douban.com/subject/34883048/"
"上都夫人 / Madame X","3","2024/07/30","","","","https://movie.douban.com/subject/35510783/"
"神力女超人 / Wonder Woman","3","2024/07/30","","","","https://movie.douban.com/subject/5054203/"
"蝙蝠侠大冒险 / The New Adventures of Batman","3","2024/07/30","","","","https://movie.douban.com/subject/4301240/"
"超级英雄战队: 展现传奇的强大力量 / SuperFriends: The Legendary...","3","2024/07/30","","","","https://movie.douban.com/subject/4089686/"
"Supergirl: The Making of the Movie","3","2024/07/30","","","","https://movie.douban.com/subject/5128441/"
"沼泽怪物 / Swamp Thing","2","2024/07/30","","1990/10/31","美国","https://movie.douban.com/subject/4089696/"
"蝙蝠侠大战德古拉 / The Batman vs Dracula: The Animated Movie","3","2024/07/30","","","","https://movie.douban.com/subject/3583709/"
"超人：布莱尼亚克的攻击 / Superman: Brainiac Attacks","2","2024/07/30","","","","https://movie.douban.com/subject/3580759/"
"塑胶人 试播集 / Plastic Man in 'Puddle Trouble'","3","2024/07/30","","","","https://movie.douban.com/subject/5200352/"
"塑胶人 / Plastic Man","4","2024/07/30","","2012/03/03","美国","https://movie.douban.com/subject/26985557/"
"超人大战极英盟 / Superman vs. The Elite","3","2024/07/30","","","","https://movie.douban.com/subject/10533890/"
"超人与蝙蝠侠：英雄的冲突 / Superman vs. Batman: When Heroes Co...","3","2024/07/30","","","","https://movie.douban.com/subject/25906944/"
"变幻人 / Shade the Changing Man","4","2024/07/30","","2013/05/04","美国","https://movie.douban.com/subject/27096996/"
"超级英雄宠物们 / Super-Pets","3","2024/07/30","","","","https://movie.douban.com/subject/25823612/"
"全力以赴的行动 / All-Out Action","3","2024/07/30","","2013/06/06","美国","https://movie.douban.com/subject/27621672/"
"氪星解密 / Krypton Decoded","3","2024/07/30","","2013/06/14","美国","https://movie.douban.com/subject/27125694/"
"谜语人 / Riddler","3","2024/07/30","","2013/07/06","美国","https://movie.douban.com/subject/27096995/"
"当心蝙蝠侠 第一季 / Beware the Batman Season 1","3","2024/07/30","","","","https://movie.douban.com/subject/10600145/"
"神奇女侠 / Wonder Woman","3","2024/07/30","","2013/07/13","美国","https://movie.douban.com/subject/26865318/"
"赤焰战场2 / Red 2","3","2024/07/30","","2013/07/19","美国","https://movie.douban.com/subject/7916027/"
"正义联盟：闪点悖论 / Justice League: The Flashpoint Paradox","4","2024/07/30","","2013/07/30","美国","https://movie.douban.com/subject/24718965/"
"金属人 / Metal Men","3","2024/07/30","","2013/08/10","美国","https://movie.douban.com/subject/26988161/"
"克里斯托弗·诺兰对话理查德·唐纳 / Christopher Nolan & Richard...","4","2024/07/30","","2013/09/24","美国","https://movie.douban.com/subject/27076874/"
"绿箭侠：热血沸腾 / Arrow: Blood Rush","3","2024/07/30","","2013/11/06","美国","https://movie.douban.com/subject/27045602/"
"氪星 / Planet Krypton","4","2024/07/30","","2013/11/12","美国","https://movie.douban.com/subject/25838932/"
"小角色，大传奇 / Strong Characters, Legendary Roles","3","2024/07/30","","2013/11/12","美国","https://movie.douban.com/subject/27621667/"
"传说","2","2024/07/29","","2024/07/10","中国大陆","https://movie.douban.com/subject/36207284/"
"死侍与金刚狼 / Deadpool & Wolverine","3","2024/07/29","花絮最好看","2024/07/24","中国台湾","https://movie.douban.com/subject/26957900/"
"回声 / Echo","1","2024/07/29","","2024/01/09","美国","https://movie.douban.com/subject/35412375/"
"假如…？ 第二季 / What If...? Season 2","2","2024/07/29","","2023/12/22","美国","https://movie.douban.com/subject/35471943/"
"假如…？ 第一季 / What If...? Season 1","3","2024/07/29","","2021/08/11","美国","https://movie.douban.com/subject/33408073/"
"地狱风暴 / Helstrom","2","2024/07/29","","2020/10/16","美国","https://movie.douban.com/subject/33434931/"
"彼得的待办清单 / Peter's To-Do List","3","2024/07/29","","2019/09/17","美国","https://movie.douban.com/subject/35002866/"
"暗夜博士：莫比亚斯 / Morbius","1","2024/07/29","","2022/04/01","美国","https://movie.douban.com/subject/27199850/"
"暗夜狼人 / Werewolf by Night","2","2024/07/29","","2022/10/07","美国网络","https://movie.douban.com/subject/35559854/"
"蜘蛛入侵：蜘蛛宇宙的故事 / The Spider Within: A Spider-Verse S...","3","2024/07/29","","2023/06/12","安锡国际动画节","https://movie.douban.com/subject/36340307/"
"类人体 / Man-Thing","1","2024/07/29","","2005/04/21","美国","https://movie.douban.com/subject/1419956/"
"刀锋战士 / Blade: The Series","3","2024/07/29","","","","https://movie.douban.com/subject/1874289/"
"尼克·弗瑞：神盾局特工 / Nick Fury: Agent of Shield","2","2024/07/29","","","","https://movie.douban.com/subject/3446728/"
"X战警97 第一季 / X-Men '97 Season 1","4","2024/07/29","","2024/03/20","美国","https://movie.douban.com/subject/35659891/"
"X战警 第一季 / X-Men Season 1","4","2024/07/29","","1992/10/31","美国","https://movie.douban.com/subject/4089692/"
"X战警 第二季 / X-Men Season 2","4","2024/07/29","","","","https://movie.douban.com/subject/26921928/"
"X战警 第三季 / X-Men Season 3","4","2024/07/29","","","","https://movie.douban.com/subject/26921927/"
"X战警 第四季 / X-Men Season 4","4","2024/07/29","","","","https://movie.douban.com/subject/26921926/"
"X战警 第五季 / X-Men Season 5","4","2024/07/29","","","","https://movie.douban.com/subject/26920381/"
"蜘蛛侠 第一季 / Spider-Man Season 1","4","2024/07/29","","","","https://movie.douban.com/subject/2174533/"
"蜘蛛侠 第二季 / Spider-Man Season 2","4","2024/07/29","","1995/09/09","美国","https://movie.douban.com/subject/27102088/"
"蜘蛛侠 第三季 / Spider-Man Season 3","4","2024/07/29","","1996/04/27","美国","https://movie.douban.com/subject/27102101/"
"蜘蛛侠 第四季 / Spider-Man Season 4","4","2024/07/29","","1997/04/01","美国","https://movie.douban.com/subject/27102102/"
"蜘蛛侠 第五季 / Spider-Man Season 5","4","2024/07/29","","1997/09/12","美国","https://movie.douban.com/subject/27102104/"
"抓娃娃","4","2024/07/29","对楚门的世界的翻版，不过确实有些想法，也只有我们老中才能拍出这种脑残的片子。一些地方稍显刻意。结尾不够激进大抵是大人的原因，不过对子女父母安排的差异性已经足够有讽刺性了","2024/07/13","大规模点映","https://movie.douban.com/subject/36653918/"
"蹉跎岁月","4","2024/07/28","","","","https://movie.douban.com/subject/4030268/"
"特搜战队刑事连者 with 蜻蜓王者 / 特捜戦隊デカレンジャー with ...","5","2024/07/23","20周年宣传前传短片，兼作渡边圆梦和宫崎客串。Jasmin和索诺妮，好喜欢(2 有用)","2024/06/16","日本","https://movie.douban.com/subject/36847544/"
"特搜战队刑事连者 20th Fireball Booster / 特捜戦隊デカレンジャ...","5","2024/07/23","20周年纪念片，倒不如说确实是高知宣传片更贴切些。作为特搜来看算是合格之作，并没有特别遗漏但也没有特别出彩。希望还能看到荒川继续写下去，看到老了的大家演的30th，40th(2 有用)","2024/06/07","日本","https://movie.douban.com/subject/36615014/"
"神偷奶爸4 / Despicable Me 4","2","2024/07/22","","2024/06/16","翠贝卡电影节","https://movie.douban.com/subject/30170847/"
"雪国列车(剧版) 第三季 / Snowpiercer Season 3","3","2024/07/20","","2022/01/24","美国","https://movie.douban.com/subject/35333701/"
"爱丽丝·居伊拍摄音画同步电影 / Alice Guy tourne une phonoscèn...","3","2024/07/03","","","","https://movie.douban.com/subject/25807173/"
"甘蓝仙子 / La fée aux choux","4","2024/07/03","","","","https://movie.douban.com/subject/2155240/"
"婆罗门和蝴蝶 / La Chrysalide et le papillon","3","2024/07/03","","","","https://movie.douban.com/subject/3233157/"
"女权主义的后果 / Les résultats du féminisme","4","2024/07/03","","","","https://movie.douban.com/subject/26850489/"
"微笑的布迪夫人 / La Souriante Madame Beudet","4","2024/07/03","","","","https://movie.douban.com/subject/1451754/"
"音乐 / La Musica","4","2024/07/03","","1967/03/03","法国","https://movie.douban.com/subject/3223707/"
"女雕像物语 / Les dites cariatides","4","2024/07/03","","","","https://movie.douban.com/subject/3027129/"
"普罗蒂亚 / Protéa","4","2024/07/03","","","","https://movie.douban.com/subject/5128509/"
"吸血鬼 / Les Vampires","4","2024/07/03","","1915/11/13","法国","https://movie.douban.com/subject/1303869/"
"迷离劫 / Irma Vep","4","2024/07/03","","1996/05/15","戛纳电影节","https://movie.douban.com/subject/1294802/"
"为了唐·卡洛 / Pour don Carlos","3","2024/07/03","","","","https://movie.douban.com/subject/35204250/"
"西班牙的节日 / La fête espagnole","4","2024/07/03","","1920/03/31","法国","https://movie.douban.com/subject/1871528/"
"卡车 / Le camion","4","2024/07/03","","1977/05/06","戛纳电影节","https://movie.douban.com/subject/3417275/"
"巴黎1900 / Paris 1900","3","2024/07/03","","","","https://movie.douban.com/subject/1466801/"
"走近蓝色海岸 / Du côté de la côte","4","2024/07/03","","","","https://movie.douban.com/subject/1475183/"
"出发","3","2024/07/01","","2024/04/22","北京国际电影节","https://movie.douban.com/subject/36588182/"
"血之友 / 血ぃともだち","2","2024/07/01","","2022/02/05","东京限定上映","https://movie.douban.com/subject/33392935/"
"纳克鲁斯 / Knuckles","1","2024/07/01","","2024/04/26","美国","https://movie.douban.com/subject/36363125/"
"星际迷航：神童 第一季 / Star Trek: Prodigy Season 1","3","2024/06/28","","2021/10/28","美国","https://movie.douban.com/subject/33427409/"
"大红灯笼高高挂(芭蕾舞剧)","4","2024/06/28","","","","https://movie.douban.com/subject/26694491/"
"最高殊勋夫人 / 最高殊勲夫人","4","2024/06/28","","","","https://movie.douban.com/subject/2238269/"
"接吻 / くちづけ","4","2024/06/28","","","","https://movie.douban.com/subject/1783538/"
"星球大战：侍者 / The Acolyte","2","2024/06/28","","2024/06/04","美国","https://movie.douban.com/subject/35058564/"
"怪物","4","2024/06/28","","2023/05/17","戛纳电影节","https://movie.douban.com/subject/35797709/"
"世界的阿菊 / せかいのおきく","4","2024/06/28","","2023/02/01","鹿特丹电影节","https://movie.douban.com/subject/35280762/"
"鱼之子 / さかなのこ","4","2024/06/28","","2022/07/16","加拿大蒙特利尔奇幻电影节","https://movie.douban.com/subject/35797506/"
"Single8","3","2024/06/28","","2023/03/18","日本","https://movie.douban.com/subject/36126230/"
"头脑特工队2 / Inside Out 2","2","2024/06/26","土中土","2024/06/12","德国","https://movie.douban.com/subject/36090457/"
"故乡 / 故郷","4","2024/06/24","","1972/10/28","日本","https://movie.douban.com/subject/1418425/"
"远山的呼唤 / 遙かなる山の呼び声","2","2024/06/24","","2018/11/24","日本","https://movie.douban.com/subject/30143329/"
"家族","4","2024/06/24","","1970/10/24","日本","https://movie.douban.com/subject/1414806/"
"东京塔 / 東京タワー","2","2024/06/24","","2024/04/20","日本","https://movie.douban.com/subject/36803488/"
"远山的呼唤 / 遥かなる山の呼び声","4","2024/06/22","","1980/03/15","日本","https://movie.douban.com/subject/1302605/"
"双飞翼","4","2024/06/22","","2019/08/24","中国大陆","https://movie.douban.com/subject/34790263/"
"邪恶不存在 / 悪は存在しない","4","2024/06/21","","2023/09/04","威尼斯电影节","https://movie.douban.com/subject/36490368/"
"百元之恋 / 百円の恋","4","2024/06/20","其实有点小普","2014/10/25","东京电影节","https://movie.douban.com/subject/25761178/"
"机器人之梦 / Robot Dreams","4","2024/06/19","","2023/05/20","戛纳电影节","https://movie.douban.com/subject/35426925/"
"当解放来临 / Når befrielsen kommer","4","2024/06/19","","2023/09/23","丹麦","https://movie.douban.com/subject/35230591/"
"恒河女 / La Femme du Gange","4","2024/06/18","开头就已指出本片对声画分离的尝试，然而这种尝试却与戈达尔的尝试恰恰相反。一面是对《劳儿之劫》的重述，一面是对恒河的重演，双重再演绎中似乎形成了一种互动。撇去影像的运动与时间的运动，甚至撇去人物本身大部分的运动与声音的运动之后，映像终于被还原成了记忆般的幻影，影像也于此成为了真正的记忆影像","1974/04/03","法国","https://movie.douban.com/subject/1464810/"
"所有谎言之母 / كذب أبيض","4","2024/06/17","微缩模型在与口述回忆的互文之中完成了如此私人化的构建，而这份私人性哪怕是以再轻声细语的呢喃呈现都挡不住存在于双重场景中太过尖锐的“隔墙的耳朵”。我想如果我对摩洛哥的历史更加了解些的话，这份沉重会更加明显吧","2023/05/24","戛纳电影节","https://movie.douban.com/subject/36359510/"
"青空娘","4","2024/06/17","还是多看点这种轻松愉快的片吧，哪怕只是表面的呢","1957/10/08","日本","https://movie.douban.com/subject/2361085/"
"Kyrie之歌 / キリエのうた","3","2024/06/15","其实无论是氛围意象还是编排都是一以贯之的岩井俊二，不过实在太散了，散到成了一部三小时的311伤痛mv合集。岩井大师大抵还是很有幽默感的，至少看到Aina热唱天津律师这块就很难不发笑。全程带着五颜六色假发的丝丝真的没眼看","2023/10/05","釜山国际电影节","https://movie.douban.com/subject/35925066/"
"清作之妻 / 清作の妻","4","2024/06/15","批判军国主义大抵不是什么很新鲜的东西，不过隐含的主题在最后被直白点出，对生活着的土地的这份深情我想我会记住很久。“唯有土地与明日同在”(1 有用)","1965/06/25","日本","https://movie.douban.com/subject/1578559/"
"首","3","2024/06/11","有股味","2023/05/23","戛纳电影节","https://movie.douban.com/subject/35359717/"
"疯狂的麦克斯：狂暴女神 / Furiosa: A Mad Max Saga","3","2024/06/09","","2024/05/15","戛纳电影节","https://movie.douban.com/subject/34996127/"
"加菲猫 / Garfield","4","2024/06/09","","2004/06/11","美国","https://movie.douban.com/subject/1308776/"
"加菲猫的幸福生活 / The Garfield Show","4","2024/06/09","","2011/02/09","中国大陆","https://movie.douban.com/subject/5913021/"
"加菲猫2 / Garfield: A Tail of Two Kitties","3","2024/06/09","","2006/06/16","美国","https://movie.douban.com/subject/1760104/"
"加菲猫和他的朋友们 第一季 / Garfield and Friends Season 1","4","2024/06/09","","","","https://movie.douban.com/subject/1830130/"
"加菲猫：现实世界历险记 / Garfield Gets Real","3","2024/06/09","","","","https://movie.douban.com/subject/2301359/"
"加菲猫和他的朋友们 第二季 / Garfield and Friends Season 2","4","2024/06/09","","1989/09/17","美国","https://movie.douban.com/subject/24289179/"
"加菲猫和他的朋友们 第三季 / Garfield and Friends Season 3","4","2024/06/09","","1990/10/11","美国","https://movie.douban.com/subject/24289181/"
"加菲猫和他的朋友们 第四季 / Garfield and Friends Season 4","4","2024/06/09","","1991/11/10","美国","https://movie.douban.com/subject/24289196/"
"加菲猫和他的朋友们 第五季 / Garfield and Friends Season 5","4","2024/06/09","","1992/09/19","美国","https://movie.douban.com/subject/26730039/"
"加菲猫和他的朋友们 第六季 / Garfield and Friends Season 6","4","2024/06/09","","","","https://movie.douban.com/subject/26730040/"
"加菲猫和他的朋友们 第七季 / Garfield and Friends Season 7","4","2024/06/09","","","","https://movie.douban.com/subject/26730041/"
"加菲猫来了 / Here Comes Garfield","4","2024/06/09","","","","https://movie.douban.com/subject/5966903/"
"加菲猫的宠物特工 / Garfield's Pet Force","2","2024/06/09","","","","https://movie.douban.com/subject/3688363/"
"加菲猫的狂欢节 / Garfield's Fun Fest","2","2024/06/09","","","","https://movie.douban.com/subject/3070889/"
"加菲猫的侦探故事 / Garfield's Babes and Bullets","4","2024/06/09","","","","https://movie.douban.com/subject/3211959/"
"加菲猫进城 / Garfield on the Town","4","2024/06/09","","","","https://movie.douban.com/subject/5966908/"
"加菲猫的九条命：前世今生 / Garfield: His 9 Lives","4","2024/06/09","","","","https://movie.douban.com/subject/3266693/"
"加菲猫在天堂 / Garfield in Paradise","4","2024/06/09","","","","https://movie.douban.com/subject/5098695/"
"加菲猫的万圣节冒险 / Garfield's Halloween Adventure","4","2024/06/09","","","","https://movie.douban.com/subject/1941811/"
"爱幻想的加菲猫 / Garfield's Feline Fantasies","4","2024/06/09","","1990/05/18","美国","https://movie.douban.com/subject/5117173/"
"加菲猫的感恩节 / Garfield's Thanksgiving","4","2024/06/09","","","","https://movie.douban.com/subject/5132903/"
"加菲猫前往好莱坞 / Garfield Goes Hollywood","4","2024/06/09","","1987/05/08","美国","https://movie.douban.com/subject/5098699/"
"加菲猫圣诞节特别奉献 / A Garfield Christmas Special","4","2024/06/09","","","","https://movie.douban.com/subject/1941833/"
"加菲猫之重获新生 / Garfield Gets a Life","4","2024/06/09","","1991/05/08","美国","https://movie.douban.com/subject/5132904/"
"加菲猫在郊外 / Garfield in the Rough","4","2024/06/09","","","","https://movie.douban.com/subject/1944815/"
"回到黑暗 / Back to Black","2","2024/06/04","","2024/04/11","德国","https://movie.douban.com/subject/35982518/"
"神秘博士2005慈善特辑：帮助儿童 / Doctor Who: Children in Need","4","2024/06/03","","","","https://movie.douban.com/subject/10577674/"
"神秘博士：与此同时 / Doctor Who Meanwhile in the TARDIS","4","2024/06/03","","","","https://movie.douban.com/subject/25779215/"
"神秘博士第六季第一集前传 / Prequel to the Impossible Astronaut","4","2024/06/03","","","","https://movie.douban.com/subject/26942814/"
"神秘博士第六季第三集前传 / Prequel to the Curse of the Black Spot","4","2024/06/03","","","","https://movie.douban.com/subject/26942815/"
"神秘博士第六季第七集前传 / Prequel to A Good Man Goes to War","4","2024/06/03","","","","https://movie.douban.com/subject/26942816/"
"神秘博士第六季第八集前传 / Prequel to Let's Kill Hitler","4","2024/06/03","","","","https://movie.douban.com/subject/26942817/"
"神秘博士第六季第13集前传 / Prequel to the Wedding of River Song","4","2024/06/03","","","","https://movie.douban.com/subject/26942818/"
"死亡是唯一的答案 / Doctor Who: Death Is the Only Answer","3","2024/06/03","","","","https://movie.douban.com/subject/20391250/"
"今夜博士不眠 / Night and The Doctor","5","2024/06/03","","","","https://movie.douban.com/subject/11639220/"
"神秘博士2011年圣诞特别篇前传 / Prequel to the Doctor, the Wido...","4","2024/06/03","","","","https://movie.douban.com/subject/26942820/"
"至善如金 / Doctor Who: Good as Gold","4","2024/06/03","","","","https://movie.douban.com/subject/20391415/"
"庞德家的日常 / Pond Life","4","2024/06/03","","2012/08/27","英国","https://movie.douban.com/subject/11620503/"
"戴立克疯人院前传 / Prequel to Asylum of the Daleks","4","2024/06/03","","","","https://movie.douban.com/subject/26948769/"
"慈悲小镇前传 / The Making of the Gunslinger","4","2024/06/03","","","","https://movie.douban.com/subject/26948771/"
"驱魔星之战 后传 / The Battle of Demons Run: Two Days Later","4","2024/06/03","","","","https://movie.douban.com/subject/25807425/"
"她说，他说 / She Said, He Said: A Prequel","4","2024/06/03","","","","https://movie.douban.com/subject/26673959/"
"克拉伦斯和低语人 / Clarence and the Whispermen","4","2024/06/03","","","","https://movie.douban.com/subject/26673955/"
"克拉拉和塔迪斯 / Clara and the TARDIS (TV story)","4","2024/06/03","","","","https://movie.douban.com/subject/25886497/"
"雨神 / Rain Gods","4","2024/06/03","","","","https://movie.douban.com/subject/26673954/"
"博士之夜 / The Night of the Doctor","4","2024/06/03","","","","https://movie.douban.com/subject/25771045/"
"神秘博士元旦特辑：新年决心 / Doctor Who: Resolution","3","2024/06/03","","2019/01/01","英国","https://movie.douban.com/subject/30403268/"
"神秘博士：博士的冥想 / The Doctor's Meditation","4","2024/06/03","","","","https://movie.douban.com/subject/26616711/"
"神秘博士元旦特辑：戴立克的革命 / Doctor Who: Revolution of the...","2","2024/06/03","","2021/01/01","英国","https://movie.douban.com/subject/35263472/"
"神秘博士：又及 / Doctor Who P.S.","5","2024/06/03","","","","https://movie.douban.com/subject/25779214/"
"瓦斯特拉调查 / Vastra Investigates: A Christmas Prequel","4","2024/06/03","","","","https://movie.douban.com/subject/26673960/"
"圣约翰的钟声 前传 / The Bells of Saint John: A Prequel","4","2024/06/03","","","","https://movie.douban.com/subject/26673386/"
"最终审判日 / The Last Day","4","2024/06/03","","","","https://movie.douban.com/subject/25779224/"
"序幕 / Prologue","4","2024/06/03","","","","https://movie.douban.com/subject/26673951/"
"神秘博士：海魔传说 / Doctor Who: Legend of the Sea Devils","2","2024/06/03","","2022/04/17","英国","https://movie.douban.com/subject/35689323/"
"神秘博士：戴立克的前夜 / Doctor Who: Eve Of The Daleks","2","2024/06/03","","2022/01/01","英国","https://movie.douban.com/subject/35686645/"
"神秘博士：博士之力 / Doctor Who: The Power of the Doctor","3","2024/06/03","","2022/10/23","英国","https://movie.douban.com/subject/35642158/"
"神秘博士2023慈善特辑：帮助儿童 / Doctor Who: Children in Need ...","3","2024/06/03","","2023/11/17","英国","https://movie.douban.com/subject/36659937/"
"神秘博士：红宝石路教堂 / Doctor Who: The Church on Ruby Road","2","2024/06/03","","2023/12/25","英国","https://movie.douban.com/subject/36190874/"
"神秘博士 第一季 / Doctor Who Season 1","2","2024/06/03","","2024/05/10","美国","https://movie.douban.com/subject/35642159/"
"The Talking Kings","3","2024/06/03","","2023/03/05","日本","https://movie.douban.com/subject/36299974/"
"全力キングをキングが全力で踊ってみた","4","2024/06/03","","2023/03/31","日本","https://movie.douban.com/subject/36343739/"
"电视君超战斗DVD 假面骑士歌查德：怎么办！？宝太郎和凛音的身体互...","4","2024/06/03","","2023/12/27","日本","https://movie.douban.com/subject/36714193/"
"虫王战队超王者VS暴太郎战队咚兄弟 / 王様戦隊キングオージャー VS...","5","2024/06/03","","2024/04/26","日本","https://movie.douban.com/subject/36742790/"
"加菲猫家族 / The Garfield Movie","3","2024/06/03","","2024/05/01","西班牙","https://movie.douban.com/subject/30377311/"
"坂本龙一：杰作 / Ryuichi Sakamoto | Opus","5","2024/05/31","","2023/09/04","威尼斯电影节","https://movie.douban.com/subject/36491177/"
"浮士德 / Faust","4","2024/05/16","","1994/09/10","加拿大","https://movie.douban.com/subject/1296369/"
"虫王战队超王者：最后三集TTFC特别版 / 王様戦隊キングオージャー ...","4","2024/05/12","","2024/04/28","日本","https://movie.douban.com/subject/36866518/"
"虫王战队超王者VS兽电战队强龙者 / 王様戦隊キングオージャー VS ...","4","2024/05/12","","2024/04/26","日本","https://movie.douban.com/subject/36742791/"
"小谢尔顿 第七季 / Young Sheldon Season 7","4","2024/05/12","","2024/02/15","美国","https://movie.douban.com/subject/35420025/"
"金的音像店 / Kim's Video","3","2024/05/07","热爱如果只能用形式和报菜名来体现未免有点廉价了(1 有用)","2023/01/20","圣丹斯电影节","https://movie.douban.com/subject/36181567/"
"九龙城寨之围城 / 九龍城寨·圍城","4","2024/05/07","","2024/05/01","中国大陆/中国香港","https://movie.douban.com/subject/24284175/"
"随他去吧 / Let It Be","5","2024/05/05","","1970/05/13","美国","https://movie.douban.com/subject/1294152/"
